iter	Logloss
0	0.5224310791
1	0.424215897
2	0.3622964193
3	0.3320336586
4	0.3110317621
5	0.2960699256
6	0.2847110267
7	0.2769950174
8	0.2697694415
9	0.2588111424
10	0.2548165459
11	0.2470041097
12	0.2448276191
13	0.2414728927
14	0.2384610588
15	0.2363102904
16	0.2338938714
17	0.2317827911
18	0.2304607562
19	0.2285313456
20	0.2271838437
21	0.2245855731
22	0.2220571869
23	0.2212703654
24	0.2190041524
25	0.2180589221
26	0.2164770149
27	0.2155590277
28	0.2146599729
29	0.2138245475
30	0.2128134775
31	0.212298419
32	0.2110996429
33	0.2101412054
34	0.2091399757
35	0.2085508953
36	0.2079273277
37	0.2073075706
38	0.2068528329
39	0.206459795
40	0.2054536747
41	0.2048529465
42	0.2040994763
43	0.2036712581
44	0.2033760555
45	0.2029977821
46	0.2023150781
47	0.2020550786
48	0.2015561477
49	0.201325177
50	0.2010879952
51	0.2007949347
52	0.2003017344
53	0.1999797454
54	0.1995807294
55	0.1993485914
56	0.1991320201
57	0.1987568927
58	0.1986128464
59	0.1983733714
60	0.1980269753
61	0.1977117619
62	0.1975470335
63	0.1971911886
64	0.1969508034
65	0.1964869502
66	0.1963471273
67	0.1960767825
68	0.1956474294
69	0.1954840829
70	0.1952825332
71	0.1951145274
72	0.1950086673
73	0.1948144615
74	0.1945765221
75	0.1941038033
76	0.1939097145
77	0.1936030538
78	0.1933027772
79	0.1931547269
80	0.193011347
81	0.1927772593
82	0.1926645564
83	0.1925327697
84	0.1923334262
85	0.1921793607
86	0.1920138273
87	0.1917665047
88	0.1916423515
89	0.1914930917
90	0.1914009034
91	0.1910258798
92	0.1908610171
93	0.1906807788
94	0.1905810738
95	0.1904967992
96	0.1904038713
97	0.1902643397
98	0.1899963211
99	0.1898661077
100	0.1896415041
101	0.1895092619
102	0.1894413619
103	0.1893759169
104	0.1892746111
105	0.1892191712
106	0.1890958333
107	0.1889465672
108	0.1888823025
109	0.188708189
110	0.188602036
111	0.1885110718
112	0.1884261498
113	0.188337378
114	0.1882176881
115	0.1881252118
116	0.1880434577
117	0.1879321493
118	0.187836945
119	0.187697847
120	0.1876369929
121	0.1875400247
122	0.1874771201
123	0.1873876234
124	0.1871707532
125	0.1870967634
126	0.1870162703
127	0.1869280425
128	0.1868073332
129	0.1867363548
130	0.1866875482
131	0.1866090234
132	0.1865466379
133	0.1864671018
134	0.1864350081
135	0.1863931025
136	0.1863330097
137	0.1862656016
138	0.1862206883
139	0.1861828878
140	0.1861408682
141	0.1860641756
142	0.1859978421
143	0.1859337753
144	0.1858654834
145	0.1858279922
146	0.1857346763
147	0.1856919054
148	0.1856429524
149	0.1855851056
150	0.185550213
151	0.1854953985
152	0.1854679467
153	0.1854126293
154	0.1853639275
155	0.1853117557
156	0.1852656659
157	0.1852381382
158	0.1851891354
159	0.1851281045
160	0.1850867446
161	0.1850469138
162	0.1849988324
163	0.1849574503
164	0.1849227338
165	0.1848763771
166	0.1847292035
167	0.184698562
168	0.1845438755
169	0.1844971371
170	0.1844596829
171	0.1842909655
172	0.1842631992
173	0.184202272
174	0.1841336898
175	0.1840172312
176	0.1839797134
177	0.1839615305
178	0.1839341112
179	0.183872812
180	0.1838448962
181	0.1838014894
182	0.1837604611
183	0.1837364242
184	0.1836760146
185	0.1836512466
186	0.1836207212
187	0.1835902122
188	0.1835442227
189	0.1834759717
190	0.1834464647
191	0.1833981157
192	0.183355841
193	0.1833404945
194	0.183292838
195	0.1832765787
196	0.1832237248
197	0.1832063643
198	0.183185763
199	0.183160574
200	0.1831371468
201	0.1831134965
202	0.1830952797
203	0.1830564809
204	0.1830391293
205	0.1830054907
206	0.1829620112
207	0.1829052551
208	0.1828701123
209	0.1828488712
210	0.1827889689
211	0.182773958
212	0.1827246355
213	0.1826894249
214	0.1826491285
215	0.1826283591
216	0.1825974978
217	0.1825735361
218	0.1825611838
219	0.1825408313
220	0.1825098563
221	0.1824744396
222	0.1824360503
223	0.1824177265
224	0.1823782359
225	0.1823631593
226	0.1823402811
227	0.1823145172
228	0.1822805416
229	0.1822594082
230	0.1822275707
231	0.1821980443
232	0.182185452
233	0.1821601593
234	0.182138579
235	0.1821185436
236	0.1821059107
237	0.1820778045
238	0.1820126519
239	0.1819961202
240	0.1819686652
241	0.181944025
242	0.181917985
243	0.1818997749
244	0.1818732284
245	0.1818641061
246	0.181822269
247	0.181809249
248	0.181783786
249	0.1817584614
250	0.1817357145
251	0.1817188302
252	0.1816986777
253	0.1816686836
254	0.1816413824
255	0.181609698
256	0.1815840332
257	0.1815665598
258	0.1815581512
259	0.1815205479
260	0.1815116009
261	0.1814917126
262	0.1814745305
263	0.1814519083
264	0.1814425623
265	0.1814257819
266	0.1814096394
267	0.1813974663
268	0.1813774582
269	0.1813626567
270	0.1813384571
271	0.1813031336
272	0.1812887878
273	0.1812707471
274	0.1812570823
275	0.1812329192
276	0.1812104842
277	0.1811972128
278	0.181175783
279	0.1811583842
280	0.1811449315
281	0.181128063
282	0.1811143724
283	0.1810885892
284	0.1810717114
285	0.1810581835
286	0.1810368437
287	0.1810088824
288	0.1809875616
289	0.1809545222
290	0.1809430822
291	0.1809247359
292	0.1809164769
293	0.1809027905
294	0.1808894721
295	0.1808821058
296	0.1808023471
297	0.1807875113
298	0.1807783453
299	0.1807680076
300	0.1807466717
301	0.1807068264
302	0.1806899889
303	0.1806705056
304	0.1806594629
305	0.1806427633
306	0.1806340698
307	0.1806238166
308	0.1806084276
309	0.1805959343
310	0.1805814613
311	0.1805588607
312	0.180549569
313	0.1805310398
314	0.1805139108
315	0.18049346
316	0.1804835568
317	0.1804772924
318	0.1804652623
319	0.1804517895
320	0.1804391087
321	0.1804202052
322	0.1804111428
323	0.1803970817
324	0.1803876834
325	0.180371464
326	0.180356258
327	0.1803427438
328	0.1803245291
329	0.1803108023
330	0.1803055633
331	0.1802936872
332	0.180285989
333	0.1802778706
334	0.1802269598
335	0.1802177973
336	0.1801986979
337	0.1801843379
338	0.1801720212
339	0.1801596438
340	0.1801430323
341	0.1801266949
342	0.1801161645
343	0.1801041138
344	0.180083843
345	0.1800766046
346	0.1800634902
347	0.1800493173
348	0.1800365057
349	0.1800094052
350	0.1799997576
351	0.1799860032
352	0.1799750731
353	0.1799572142
354	0.1799449372
355	0.1799299036
356	0.1799165576
357	0.1799094254
358	0.1798974906
359	0.1798841244
360	0.1798769085
361	0.1798603271
362	0.1798537637
363	0.1798464054
364	0.1798292244
365	0.1798214377
366	0.1798114777
367	0.1797897739
368	0.179786234
369	0.1797721525
370	0.1797646213
371	0.1797585772
372	0.1797510299
373	0.1797439968
374	0.1797295247
375	0.1797231276
376	0.1797148728
377	0.179690726
378	0.1796840611
379	0.1796672555
380	0.1796525101
381	0.1796417403
382	0.1796174033
383	0.1795977485
384	0.1795894682
385	0.1795801915
386	0.1795687177
387	0.1795443843
388	0.1795289294
389	0.1795159308
390	0.1795084377
391	0.1794923498
392	0.1794861931
393	0.1794775795
394	0.1794664033
395	0.1794380637
396	0.1794294519
397	0.1794098972
398	0.1794020832
399	0.179385111
400	0.1793699539
401	0.1793616917
402	0.1793536248
403	0.179340803
404	0.1793366092
405	0.1793258733
406	0.1793177334
407	0.1793060805
408	0.1792962273
409	0.1792879447
410	0.1792777517
411	0.1792686344
412	0.1792566769
413	0.1792392807
414	0.179228323
415	0.1792224294
416	0.1792089837
417	0.1791961989
418	0.1791836183
419	0.1791788194
420	0.1791623546
421	0.1791556792
422	0.1791443454
423	0.1791377169
424	0.1791286517
425	0.1791202481
426	0.1791130758
427	0.1791072426
428	0.1790953625
429	0.1790822284
430	0.1790739901
431	0.1790670445
432	0.1790570811
