iter	Passed	Remaining
401	17585	26159
402	17625	26110
403	17670	26068
404	17708	26016
405	17750	25970
406	17788	25917
407	17828	25869
408	17870	25821
409	17912	25776
410	17955	25732
411	17999	25688
412	18044	25647
413	18086	25601
414	18129	25556
415	18170	25508
416	18208	25457
417	18252	25413
418	18294	25367
419	18336	25322
420	18381	25279
421	18424	25235
422	18470	25194
423	18512	25149
424	18554	25102
425	18593	25053
426	18639	25013
427	18681	24967
428	18725	24923
429	18765	24874
430	18808	24830
431	18851	24785
432	18892	24739
433	18937	24697
434	18978	24649
435	19019	24602
436	19062	24559
437	19109	24519
438	19151	24473
439	19195	24430
440	19243	24393
441	19292	24355
442	19340	24318
443	19387	24277
444	19430	24233
445	19476	24193
446	19517	24145
447	19568	24111
448	19616	24072
449	19660	24028
450	19718	24002
451	19776	23976
452	19825	23939
453	19872	23899
454	19916	23856
455	19960	23812
456	20009	23774
457	20056	23735
458	20100	23691
459	20144	23648
460	20191	23607
461	20245	23576
462	20288	23531
463	20337	23493
464	20380	23448
465	20422	23402
466	20469	23362
467	20516	23322
468	20559	23277
469	20604	23234
470	20648	23191
471	20697	23152
472	20743	23111
473	20787	23067
474	20831	23024
475	20880	22985
476	20921	22939
477	20966	22896
478	21010	22852
479	21053	22808
480	21098	22765
481	21143	22722
482	21184	22675
483	21223	22626
484	21264	22579
485	21305	22533
486	21351	22491
487	21395	22447
488	21441	22405
489	21483	22359
490	21526	22315
491	21570	22272
492	21614	22228
493	21655	22181
494	21697	22136
495	21741	22091
496	21788	22051
497	21830	22006
498	21874	21961
499	21917	21917
500	21965	21877
501	22010	21834
502	22056	21793
503	22095	21745
504	22136	21698
505	22179	21653
506	22227	21613
507	22272	21571
508	22315	21526
509	22362	21485
510	22410	21445
511	22457	21404
512	22503	21363
513	22548	21319
514	22590	21274
515	22632	21229
516	22677	21185
517	22721	21142
518	22765	21098
519	22806	21052
520	22847	21006
521	22890	20960
522	22932	20915
523	22975	20870
524	23018	20825
525	23063	20783
526	23106	20738
527	23148	20693
528	23190	20647
529	23231	20601
530	23270	20553
531	23314	20509
532	23356	20464
533	23397	20418
534	23434	20368
535	23477	20324
536	23522	20281
537	23565	20236
538	23606	20190
539	23651	20147
540	23695	20103
541	23742	20062
542	23787	20020
543	23829	19974
544	23871	19929
545	23921	19890
546	23966	19847
547	24009	19803
548	24050	19757
549	24093	19712
550	24138	19669
551	24176	19621
552	24218	19576
553	24260	19530
554	24302	19485
555	24344	19440
556	24391	19399
557	24434	19355
558	24480	19312
559	24521	19266
560	24569	19226
561	24615	19184
562	24658	19140
563	24701	19095
564	24744	19051
565	24788	19007
566	24832	18963
567	24876	18920
568	24918	18874
569	24960	18829
570	25001	18784
571	25049	18743
572	25090	18697
573	25131	18651
574	25174	18607
575	25216	18562
576	25258	18516
577	25300	18471
578	25367	18445
579	25442	18423
580	25493	18385
581	25541	18344
582	25585	18300
583	25633	18259
584	25682	18218
585	25720	18170
586	25759	18123
587	25801	18078
588	25845	18034
589	25890	17991
590	25938	17950
